USERS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
user80,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user81,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user82,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user83,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user84,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user85,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user86,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user87,A14,A14,A14,A6,A1,A1,,,,,,,,,,,,,,,,,,,,,
user88,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user89,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user90,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user91,A1,A6,A1,,,,,,,,,,,,,,,,,,,,,,,,
user92,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user93,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user94,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user95,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user96,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user97,A1,,,,,,,,,,,,,,,,,,,,,,,,,,
user98,A7,A10,A1,,,,,,,,,,,,,,,,,,,,,,,,
user99,A6,A1,,,,,,,,,,,,,,,,,,,,,,,,,
user100,A1,A1,,,,,,,,,,,,,,,,,,,,,,,,,
